NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT07465471,Carvedilol and Midodrine Versus Carvedilol Alone in Preventing Early Rebleed in Patients With Cirrhosis.,https://clinicaltrials.gov/study/NCT07465471,Not Yet Recruiting,Liver Cirrhosis,DRUG: Carvedilol|DRUG: Midodrine Oral Product,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT07465211,Comparative Evaluation of Clinical Success of BIOFLX Crowns and SSC in Primary Molars,https://clinicaltrials.gov/study/NCT07465211,Completed,Dental Caries|Restored Decayed Teeth and Post-operative Sensitivity,PROCEDURE: US Public Health Service modified criteria|PROCEDURE: The parental satisfaction,satish vishwanathaiah,Not available,INTERVENTIONAL
NCT07461649,Pharmacokinetic Study of Eicosapentaenoic Acid (EPA) and Calcium L-5-Methyltetrahydrofolate (L-5-MTHF) After Administration of CreNeuros® CNS Fish Oil Plus Softgels in Healthy Subjects Under Fasting Conditions,https://clinicaltrials.gov/study/NCT07461649,Not Yet Recruiting,Bioavailability and Pharmacokinetics,DIETARY_SUPPLEMENT: Eicosapentaenoic Acid (EPA) and Calcium L-5-Methyltetrahydrofolate (L-5-MTHF),"Sichuan Credit Pharmaceutical Co., Ltd.",Not available,INTERVENTIONAL
NCT07459543,"A Study To Assess the Safety, and Tolerability of Nivolumab + Relatlimab Fixed-Dose Combination (FDC) In Untreated, Unresectable or Metastatic Melanoma Participants In India",https://clinicaltrials.gov/study/NCT07459543,Not Yet Recruiting,Untreated Melanoma|Unresectable Melanoma|Metastatic Melanoma,DRUG: Nivolumab + Relatlimab,Bristol-Myers Squibb,Not available,INTERVENTIONAL
NCT07455097,COMBINED PSMA-PET/CT AND MRI STAGING IN INTERMEDIATE AND HIGH-RISK PATIENTS PROSTATA-CANCER (COMBINE-P),https://clinicaltrials.gov/study/NCT07455097,Active Not Recruiting,Intermediate-risk Prostate Cancer|High-risk Prostate Cancer,DIAGNOSTIC_TEST: PSMA-11,"Heinrich-Heine University, Duesseldorf","Marienhospital Herne|San Raffaele University Hospital, Italy|Lund University Hospital|KU Leuven|Fortis Hospital, India|University of Bern|Erasmus Medical Center|Universität Tübingen|Medical University of Vienna|European Association of Urology Research Foundation|University Hospital, Paris|Ludwig-Maximilians - University of Munich",OBSERVATIONAL
NCT07454772,Antibiotics vs Corticosteroids in Treatment of Granulomatous Lobular Mastitis,https://clinicaltrials.gov/study/NCT07454772,Not Yet Recruiting,Granulomatous Mastitis,DRUG: Steroid|DRUG: Antibiotic,"All India Institute of Medical Sciences, Bhubaneswar",Not available,INTERVENTIONAL
NCT07453472,Comparison of Topical Photodynamic Therapy With Topical Calcipotriol in Management of Oral Leukoplakia,https://clinicaltrials.gov/study/NCT07453472,Not Yet Recruiting,Oral Leukoplakia,OTHER: Non-invasive Photo Dynamic Therapy using LED of wavelength ranging from 630-660nm( Fluence 15 J/cm2) as light source and 2.5% TB as photosensitizer|DRUG: Topical application of Calcipotriol ointment 0.005% twice a day for 4 weeks along with preventive and conventional therapy|OTHER: Conventional non-invasive management : All subjects in the two groups will receive the same standard conventional non- invasive management advised for OL as per current scientific evidence,Dr. Shalini Gupta,All India Institute of Medical Sciences,INTERVENTIONAL
NCT07452757,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers,https://clinicaltrials.gov/study/NCT07452757,Completed,Overweight (BMI > 25),DIETARY_SUPPLEMENT: Arm II|DIETARY_SUPPLEMENT: Arm III|DIETARY_SUPPLEMENT: Arm IV,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
NCT07452744,Efficacy and Safety of Picroliv in Patients With Non-Alcoholic Fatty Liver Disease,https://clinicaltrials.gov/study/NCT07452744,Enrolling By Invitation,Non Alcholic Fatty Liver Disease,DRUG: Picroliv|OTHER: Placebo,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
NCT07452068,Comparison of Intrasinus and Extrasinus Approach for the Placement of Zygomatic Implants in Severely Resorbed Edentulous Maxillary Arch Using Zygomatic Success Code - An In-Vivo Study,https://clinicaltrials.gov/study/NCT07452068,Not Yet Recruiting,Implant Stability,PROCEDURE: ZYGOMATIC IMPLANT KIT,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
